module,function_name,line,lines_of_code,hash,args,docstring
"vascular_lib/params/presets.py","brain_arterial",143,24,"e719a2f5","","Cerebral arterial tree.  Characteristics: - Very dense for high metabolic demand - Strict curvature "
"vascular_lib/params/presets.py","get_preset",180,23,"0509b24a","name","Get a parameter preset by name.  Parameters ---------- name : str     Preset name (e.g., 'liver_arte"
"vascular_lib/params/presets.py","list_presets",206,2,"e80a509a","","List all available preset names."
"vascular_lib/params/validation.py","validate_params",30,87,"d4d7b9f9","params","Validate SpaceColonizationParams against bounds.  Parameters ---------- params : SpaceColonizationPa"
"vascular_lib/params/validation.py","validate_and_warn",120,21,"82681147","params","Validate parameters and print warnings.  Parameters ---------- params : SpaceColonizationParams     "
"vascular_lib/rules/constraints.py","to_dict",27,12,"0b463061","self","Convert to dictionary for serialization."
"vascular_lib/rules/constraints.py","from_dict",42,12,"8a1d49fd","cls,d","Create from dictionary."
"vascular_lib/rules/constraints.py","to_dict",68,5,"46d142e6","self","Convert to dictionary for serialization."
"vascular_lib/rules/constraints.py","from_dict",76,5,"c52e6216","cls,d","Create from dictionary."
"vascular_lib/rules/constraints.py","murray",84,9,"14b36c68","cls,gamma,split_ratio_mean,split_ratio_std","Create Murray's law rule."
"vascular_lib/rules/constraints.py","fixed",96,5,"90f319e3","cls,radius","Create fixed radius rule."
"vascular_lib/rules/constraints.py","linear_taper",104,5,"84d95f3c","cls,taper_factor","Create linear taper rule."
"vascular_lib/rules/constraints.py","__post_init__",124,14,"e0a040d7","self","Set default values."
"vascular_lib/rules/constraints.py","get_min_distance",140,3,"22fbebf2","self,type1,type2","Get minimum distance between two vessel types."
"vascular_lib/rules/constraints.py","is_anastomosis_allowed",145,3,"31c684b3","self,type1,type2","Check if anastomosis is allowed between two vessel types."
"vascular_lib/rules/constraints.py","to_dict",150,12,"b11e75a7","self","Convert to dictionary for serialization."
"vascular_lib/rules/constraints.py","from_dict",165,21,"ae461bb0","cls,d","Create from dictionary."
"vascular_lib/rules/constraints.py","__post_init__",203,5,"fa959f61","self","Validate parameters."
"vascular_lib/rules/constraints.py","apply_degradation",210,32,"6c80e828","self,parent_radius,generation","Apply degradation to compute child radius.  Parameters ---------- parent_radius : float     Parent v"
"vascular_lib/rules/constraints.py","should_terminate",244,24,"c4bd46af","self,radius,generation","Check if branch should terminate based on degradation rules.  Parameters ---------- radius : float  "
"vascular_lib/rules/constraints.py","to_dict",270,7,"f320c93a","self","Convert to dictionary for serialization."
"vascular_lib/rules/constraints.py","from_dict",280,7,"ef5f4747","cls,d","Create from dictionary."
"vascular_lib/rules/constraints.py","exponential",290,2,"3ec213a8","cls,factor,min_radius","Create exponential degradation rule."
"vascular_lib/rules/constraints.py","linear",295,2,"09234046","cls,factor,min_radius","Create linear degradation rule."
"vascular_lib/rules/constraints.py","generation_based",300,2,"fafb41e4","cls,factor,max_gen","Create generation-based degradation rule."
"vascular_lib/rules/radius.py","murray_split",10,48,"588e4cf7","parent_radius,gamma,split_ratio,min_radius","Compute child radii from parent radius using Murray's law.  Murray's law: r_parent^gamma = r_child1^"
"vascular_lib/rules/radius.py","apply_radius_rule",61,46,"43b9fdc7","parent_radius,rule_spec,rng","Apply radius rule to compute child radii.  Parameters ---------- parent_radius : float     Parent ve"
"vascular_lib/spatial/grid_index.py","__init__",19,15,"e227ae23","self,network,cell_size","Initialize spatial index.  Parameters ---------- network : VascularNetwork     Network to index cell"
"vascular_lib/spatial/grid_index.py","_get_cell_coords",36,6,"29639f10","self,point","Convert world coordinates to grid cell coordinates."
"vascular_lib/spatial/grid_index.py","_get_cells_for_segment",44,21,"28e2203e","self,segment","Get all grid cells that a segment intersects."
"vascular_lib/spatial/grid_index.py","_build_index",67,7,"b0854914","self","Build spatial index from network segments."
"vascular_lib/spatial/grid_index.py","query_nearby_segments",76,44,"4e4b52e9","self,point,radius","Query segments near a point.  Parameters ---------- point : Point3D     Query point radius : float  "
"vascular_lib/spatial/grid_index.py","_point_to_segment_distance",122,23,"e4ec2d28","self,point,segment","Compute minimum distance from point to segment centerline."
"vascular_lib/spatial/grid_index.py","get_collisions",147,58,"fde299bc","self,min_clearance,exclude_connected","Find all segment pairs that are too close.  Parameters ---------- min_clearance : float     Minimum "
"vascular_lib/spatial/grid_index.py","_segment_to_segment_distance",207,24,"e88f5c6d","self,seg1,seg2","Compute minimum distance between two segment centerlines."
"vascular_lib/specs/design_spec.py","to_dict",18,2,"a923c5d0","self","Convert to dictionary for JSON serialization."
"vascular_lib/specs/design_spec.py","from_dict",23,8,"5c1f2c06","d","Create DomainSpec from dictionary."
"vascular_lib/specs/design_spec.py","from_dict",51,5,"067ac553","d","Create EllipsoidSpec from dictionary."
"vascular_lib/specs/design_spec.py","from_dict",76,5,"7a9f94f9","d","Create BoxSpec from dictionary."
"vascular_lib/specs/design_spec.py","to_dict",92,1,"027ff6eb","self",""
"vascular_lib/specs/design_spec.py","from_dict",96,5,"eee2004a","d",""
"vascular_lib/specs/design_spec.py","to_dict",112,1,"027ff6eb","self",""
"vascular_lib/specs/design_spec.py","from_dict",116,5,"9365f7bc","d",""
"vascular_lib/specs/design_spec.py","to_dict",148,1,"027ff6eb","self",""
"vascular_lib/specs/design_spec.py","from_dict",152,21,"d88fdbf3","d",""
"vascular_lib/specs/design_spec.py","to_dict",184,5,"c141948e","self",""
"vascular_lib/specs/design_spec.py","from_dict",192,5,"2ee6275d","d",""
"vascular_lib/specs/design_spec.py","to_dict",209,6,"5e8139e5","self",""
"vascular_lib/specs/design_spec.py","from_dict",218,6,"ac909202","d",""
"vascular_lib/specs/design_spec.py","__post_init__",237,4,"e74f1366","self",""
"vascular_lib/specs/design_spec.py","to_dict",243,10,"04953478","self",""
"vascular_lib/specs/design_spec.py","to_json",255,2,"4ad3f199","self,path",""
"vascular_lib/specs/design_spec.py","from_dict",260,7,"cdeaeab7","d",""
"vascular_lib/specs/design_spec.py","from_json",270,3,"436bd7d9","path",""
"vascular_lib/specs/eval_result.py","to_dict",79,9,"3be86ba0","self","Convert to dictionary for JSON serialization."
"vascular_lib/specs/eval_result.py","to_json",90,3,"aba1c9f9","self,path","Save to JSON file."
"vascular_lib/specs/eval_result.py","from_dict",96,9,"99ed55c0","d","Create EvalResult from dictionary."
"vascular_lib/specs/eval_result.py","from_json",108,4,"1a2fc809","path","Load from JSON file."
"vascular_lib/tests/test_adapters.py","test_to_networkx_graph",16,37,"6efc3295","","Test conversion to NetworkX graph."
"vascular_lib/tests/test_adapters.py","test_networkx_roundtrip",56,12,"3efe2200","","Test NetworkX conversion round-trip."
"vascular_lib/tests/test_adapters.py","test_to_trimesh_fast",71,27,"5793af35","","Test fast mesh export."
